ID,代表名,別名1,別名2,別名3,別名4,別名5,別名7,別名8,別名9,別名10,別名11,将星録,烈風伝,嵐世記,蒼天録,天下創世,革新,天道,創造,大志,天翔記-誕生,将星録-誕生,烈風伝-誕生,嵐世記-誕生,蒼天録-誕生,天下創世-誕生,革新-誕生,天道-誕生,創造-誕生,大志-誕生,天翔記-死亡,将星録-死亡,烈風伝-死亡,嵐世記-死亡,蒼天録-死亡,天下創世-死亡,革新-死亡,天道-死亡,創造-死亡,大志-死亡,天翔記-列伝,将星録-列伝,烈風伝-列伝,嵐世記-列伝,蒼天録-列伝,天下創世-列伝,革新-列伝,天道-列伝,創造-列伝,大志-列伝,列伝-有効
1,織田 信長,織田 吉法師,織田 三郎,,,,,,,,,199,1,493,498,340,339,433,840,339,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,その先見の明をもって、尾張国の小大名から覇王の座に手を掛けるまでに上り詰めた男。家臣・明智光秀の謀叛により、本能寺にて無念の横死を遂げる。,今川義元を桶狭間に破り、武名を轟かせる。以後、各地を転戦して有力大名を次々と滅ぼした。天下布武を目前にして、明智光秀の謀叛に遭い本能寺に散る。,今川義元を桶狭間に破り、武名を轟かせる。以後、各地を転戦して有力大名を次々と滅ぼした。天下布武を目前にして、明智光秀の謀叛に遭い本能寺に散る。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,信秀の嫡男。今川義元を桶狭間で破る。以後、天下布武を標榜して敵対勢力を次々と滅ぼした。天下統一を目前にして、明智光秀の謀叛に遭い本能寺に散った。,10
2,柴田 勝家,柴田 権六,,,,,,,,柴田 浄勝,,205,2,511,517,358,356,452,852,356,1521,1522,1522,1522,1522,1522,1522,1522,1522,1522,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,「瓶割り柴田」の異名を取った織田家中随一の猛将。本能寺の変後、主導権をめぐって羽柴秀吉と争い、賎ヶ岳で対戦。敗北し、越前北ノ庄で自害した。,織田家臣。家中随一の猛将として活躍。北陸方面の攻略を一任された。本能寺の変後、羽柴秀吉と覇権を争う。賤ヶ岳合戦で敗れ、越前北ノ庄城で自害した。,織田家臣。家中随一の猛将として活躍。北陸方面の攻略を一任された。本能寺の変後、羽柴秀吉と覇権を争う。賤ヶ岳合戦で敗れ、越前北ノ庄城で自害した。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争うが賤ヶ岳の合戦で敗れ、居城・北の庄城で自害。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争い賤ヶ岳合戦で敗れ、居城・北庄城で自害した。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争い賤ヶ岳合戦で敗れ、居城・北庄城で自害した。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争い賤ヶ岳合戦で敗れ、居城・北庄城で自害した。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争い賤ヶ岳合戦で敗れ、居城・北庄城で自害した。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争い賤ヶ岳合戦で敗れ、居城・北庄城で自害した。,織田家臣。「かかれ柴田」の異名をとった猛将。北陸方面軍の総大将を務めた。本能寺の変後、羽柴秀吉と争い賤ヶ岳合戦で敗れ、居城・北庄城で自害した。,10
3,前田 利家,前田 犬千代,前田 又左衛門,,,,,,,,,222,3,523,532,371,369,467,890,369,1538,1538,1538,1538,1538,1538,1538,1538,1538,1538,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,信長に仕え、数々の戦で軍功をあげた。羽柴秀吉の親友で、信長の死後は秀吉に仕える。１５９８年、五大老の１人となるも、翌年、大坂で病死する。,織田家臣。若い頃は「槍の又左」と呼ばれ、数々の合戦に参加する。柴田勝家に従って北陸に進撃した。信長の死後は羽柴秀吉に仕え、五大老の１人となる。,織田家臣。若いころは「槍の又左」と呼ばれ、数々の合戦に参加する。柴田勝家に従って北陸に進撃した。信長の死後は羽柴秀吉に仕え、五大老の１人となる。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,織田家臣。数々の合戦で活躍し「槍の又左」の異名をとった。のちに柴田勝家に従って北陸平定に貢献。信長の死後は豊臣秀吉に仕え、五大老の１人となった。,10
4,明智 光秀,明智 彦太郎,,明智 十兵衛,,,,,惟任 光秀,,明智 咲庵,391,4,574,589,419,417,536,951,417,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1582,1582,1582,1582,1582,1582,1582,1582,1582,1582,織田家に仕官し、重用される。１５８２年、謀叛を起こし、主君・信長を本能寺に討つ。しかし、事後調略に失敗し、逆臣として羽柴秀吉に山崎で討たれた。,織田家臣。優れた才知と教養をもって信長に重用された。突如謀叛を起こし、信長を本能寺に討つが、事後調略には失敗する。羽柴秀吉に山崎で討たれた。,織田家臣。優れた才知と教養をもって信長に重用された。突如謀叛を起こし、信長を本能寺に討つが、事後調略には失敗する。羽柴秀吉に山崎で討たれた。,織田家臣。優れた才知と教養により信長に重用されたが、突如謀叛を起こし、信長を本能寺に討つ。しかし事後調略に失敗し山崎合戦で敗北、土民に殺された。,織田家臣。優れた才知と教養により信長に重用されるが、突如謀叛を起こし信長を本能寺に討つ。しかし事後調略に失敗し、山崎合戦で敗れ逃亡中に殺された。,織田家臣。優れた才知と教養により信長に重用されるが、突如謀叛を起こし信長を本能寺に討つ。しかし事後調略に失敗し、山崎合戦で敗れ逃亡中に殺された。,織田家臣。優れた才知と教養により信長に重用されるが、突如謀叛を起こし信長を本能寺に討つ。しかし事後調略に失敗し、山崎合戦で敗れ逃亡中に殺された。,織田家臣。優れた才知と教養により信長に重用されるが、突如謀叛を起こし信長を本能寺に討つ。しかし事後調略に失敗し、山崎合戦で敗れ逃亡中に殺された。,織田家臣。優れた才知と教養により重用されるが、突如謀叛を起こし信長を本能寺に討つ。しかし事後調略に失敗し、山崎合戦で敗れ逃亡中に殺された。,織田家臣。優れた才知と教養により重用されるが、突如謀叛を起こし信長を本能寺に討つ。しかし事後調略に失敗し、山崎合戦で敗れ逃亡中に落命した。,10
5,丹羽 長秀,丹羽 万千代,丹羽 五郎左衛門,,,,,惟住 長秀,,,,207,5,513,522,363,361,457,886,361,1535,1535,1535,1535,1535,1535,1535,1535,1535,1535,1585,1585,1585,1585,1585,1585,1585,1585,1585,1585,実直な、信長股肱の臣。本能寺の変後は羽柴秀吉に同調したが、織田家を我が物にせんとする秀吉を恨み、病床で割腹。遺書と腫瘍を秀吉に送りつけたという。,織田家臣。安土城の普請を総指揮した。四国攻めの大将に任じられるが、本能寺の変のため実行が中止される。のちは羽柴秀吉に与し、その天下統一を助けた。,織田家臣。安土城の普請を総指揮した。四国攻めの大将に任じられるが、本能寺の変のため実行が中止される。のちは羽柴秀吉に与し、その天下統一を助けた。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北の庄１２０万石を領した。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北庄１２０万石を領した。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北庄１２０万石を領した。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北庄１２０万石を領した。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北庄１２０万石を領した。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北庄１２０万石を領した。,織田家臣。「米五郎左」の異名をとる。安土城の普請奉行を務めるなど、行政面で活躍した。本能寺の変後は羽柴秀吉に属し、越前北庄１２０万石を領した。,10
6,羽柴 秀吉,木下 藤吉郎,,木下 秀吉,,,豊臣 秀吉,,,,,242,6,515,524,365,363,460,853,363,1536,1536,1536,1536,1537,1537,1537,1537,1537,1537,1598,1598,1598,1598,1598,1598,1598,1598,1598,1598,戦国一の出世頭。信長に仕え、無類の人間的魅力と智謀で、次第に頭角を現す。信長亡き後、明智光秀・柴田勝家らを次々と降し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と智略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と智略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,10
7,石田 三成,石田 佐吉,,,,,,,,,,404,7,793,844,591,592,772,1060,592,1560,1560,1560,1560,1560,1560,1560,1560,1560,1560,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,羽柴秀吉の懐刀として辣腕を振るう。秀吉の死後、徳川家康と関ヶ原で戦う。人望のない三成は諸将の統制がとれずに敗北し、京都六条河原で斬首された。,豊臣家臣。秀吉の懐刀として辣腕を振るった。秀吉の死後、西軍の総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗北し、京都で斬首された。,豊臣家臣。秀吉の懐刀として辣腕を振るった。秀吉の死後、西軍の総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗北し、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍総大将として徳川家康と関ヶ原で戦うが、諸の統制をとれずに敗れ、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍総大将として徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍を指揮して徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。,豊臣家臣。五奉行の１人として国政に参画。主君・秀吉の死後、西軍を指揮して徳川家康と関ヶ原で戦うが、諸将の統制をとれずに敗れ、京都で斬首された。,10
8,長井 規秀,長井 新九郎,,藤原 規秀,,,斎藤 利政,斎藤 道三,,,,268,8,570,585,415,413,531,945,413,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1556,1556,1556,1556,1556,1556,1556,1556,1556,1556,「蝮」の異名を取った梟雄。京都妙覚寺の僧から油売りの商人に身を転じ、ついには美濃一国の太守となった。しかし、子・義龍との戦いで敗れ、討たれた。,「蝮」の異名をとった稀代の梟雄。京都妙覚寺の僧から油商人に身を転じ、美濃一国の主にまで昇りつめた。しかし、子・義龍との戦いに敗れ、戦死。,「蝮」の異名をとった稀代の梟雄。京都妙覚寺の僧から油商人に身を転じ、美濃一国の主にまで昇りつめた。しかし、子・義龍との戦いに敗れ、戦死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,「蝮」の異名をとった美濃の戦国大名。僧から油商人に転身、次いで美濃守護・土岐頼芸に仕官、頼芸を追放して国主となった。のちに子・義龍と戦い、敗死。,10
9,松平 元康,,,松平 元信,,,松平 家康,徳川 家康,,,,163,9,444,451,298,299,382,778,299,1542,1542,1542,1542,1542,1542,1542,1542,1542,1542,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,今川義元の人質として幼少期を過ごす。義元の死後に独立し、徳川家康を名乗った。信長との同盟で力を蓄え、ついには征夷大将軍となって江戸幕府を開く。,江戸幕府の創始者。桶狭間合戦後に今川家から自立。織田家との同盟、豊臣家への臣従を経て勢力を拡大する。関ヶ原合戦の勝利ののちに征夷大将軍となる。,江戸幕府の創始者。桶狭間合戦後に今川家から自立。織田家との同盟、豊臣家への臣従を経て勢力を拡大する。関ヶ原合戦の勝利ののちに征夷大将軍となる。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,江戸幕府の創始者。広忠の子。桶狭間の合戦後に自立。織田家との同盟、豊臣家への従属を経て勢力を拡大する。関ヶ原合戦で勝利を収め征夷大将軍となった。,10
10,本多 忠勝,本多 平八郎,,,,,,,,,,182,10,454,460,307,308,395,762,308,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1610,1610,1610,1610,1610,1610,1610,1610,1610,1610,「家康に過ぎたるもの」と謳われたほどの武勇の士で、徳川家四天王の１人。名槍「蜻蛉切」を手に５０回あまり戦い、傷の１つも負わなかったという。,徳川四天王の１人で、「家康に過ぎたるもの」と謳われたほどの武勇の士。名槍「蜻蛉切」を手に５０余回の合戦に参陣し、かすり傷１つ負わなかったという。,徳川四天王の１人で、「家康に過ぎたるもの」と謳われたほどの武勇の士。名槍「蜻蛉切」を手に５０余回の合戦に参陣し、かすり傷１つ負わなかったという。,徳川四天王の１人。「家康に過ぎたるもの」と謳われた家中随一の猛将。名槍・「蜻蛉切」を手に五十七回の合戦に参陣し、かすり傷一つ負わなかったという。,徳川家臣。徳川四天王の１人。「家康に過ぎたるもの」と評された家中随一の猛将。名槍・蜻蛉切を手に５７度の合戦に参陣し、傷一つ負わなかったという。,徳川家臣。徳川四天王の１人。「家康に過ぎたるもの」と評された家中随一の猛将。名槍・蜻蛉切を手に５７度の合戦に参陣し、傷一つ負わなかったという。,徳川家臣。徳川四天王の１人。「家康に過ぎたるもの」と評された家中随一の猛将。名槍・蜻蛉切を手に５７度の合戦に参陣し、傷一つ負わなかったという。,徳川家臣。徳川四天王の１人。「家康に過ぎたるもの」と評された家中随一の猛将。名槍・蜻蛉切を手に５７度の合戦に参陣し、傷一つ負わなかったという。,徳川家臣。徳川四天王の１人。「家康に過ぎたるもの」と評された家中随一の猛将。名槍・蜻蛉切を手に５７度の合戦に参陣し、傷一つ負わなかったという。,徳川家臣。徳川四天王の１人。「家康に過ぎたるもの」と評された家中随一の猛将。名槍・蜻蛉切を手に５７度の合戦に参陣し、傷一つ負わなかったという。,10
